Date,Price
20180726,4.8649
20180725,4.7728
20180724,4.8861
20180723,4.7395
20180720,4.7927
20180719,4.8066
20180718,4.7953
20180717,4.8065
20180716,4.8463
20180713,4.8552
20180712,4.8552
20180711,4.8762
20180710,4.7077
20180709,4.7338
20180706,4.5704
20180705,4.5925
20180704,4.6667
20180703,4.6705
20180702,4.6161
20180629,4.5872
20180628,4.5853
20180627,4.6225
20180626,4.6155
20180625,4.681
20180622,4.6773
20180621,4.7225
20180620,4.7327
20180619,4.7402
20180618,4.7042
20180615,4.7301
20180614,4.7259
20180613,4.6452
20180612,4.5976
20180611,4.524
20180608,4.474
20180607,4.4844
20180606,4.5554
20180605,4.5985
20180604,4.5921
20180601,4.6508
20180531,4.5245
20180530,4.465
20180529,4.5488
20180528,4.5822
20180525,4.7081
20180524,4.7073
20180523,4.5762
20180522,4.6691
20180521,4.5749
20180518,4.4917
20180517,4.4606
20180516,4.4139
20180515,4.445
20180514,4.3674
20180511,4.3136
20180510,4.2352
20180509,4.2876
20180508,4.3327
20180507,4.2669
20180504,4.226
20180503,4.2131
20180502,4.1771
20180501,4.103
20180430,4.0617
20180427,4.0422
20180426,4.0664
20180425,4.0809
20180424,4.086
20180423,4.1079
20180420,4.0766
20180419,4.0403
20180418,4.0086
20180417,4.0976
20180416,4.0963
20180413,4.0969
20180412,4.1102
20180411,4.136
20180410,4.1121
20180409,4.0737
20180406,4.0449
20180405,4.0515
20180404,3.9991
20180403,3.9887
20180402,3.9735
20180330,3.9552
20180329,3.9422
20180328,4.0103
20180327,3.9819
20180326,3.9657
20180323,3.9824
20180322,3.9343
20180321,3.9085
20180320,3.9339
20180319,3.9362
20180316,3.9196
20180315,3.8956
20180314,3.8796
20180313,3.8733
20180312,3.8438
20180309,3.8111
20180308,3.8236
20180307,3.8027
20180306,3.7942
20180305,3.8084
20180302,3.8071
20180301,3.8056
20180228,3.7988
20180227,3.8155
20180226,3.7864
20180223,3.7905
20180222,3.7843
20180221,3.7891
20180220,3.7984
20180219,3.7573
20180216,3.7474
20180215,3.7644
20180214,3.7824
20180213,3.8106
20180212,3.7997
20180209,3.8226
20180208,3.8216
20180207,3.8047
20180206,3.7695
20180205,3.79
20180202,3.7734
20180201,3.7315
20180131,3.7555
20180130,3.781
20180129,3.7934
20180126,3.7548
20180125,3.7525
20180124,3.7384
20180123,3.7673
20180122,3.775
20180119,3.8065
20180118,3.7701
20180117,3.8182
20180116,3.798
20180115,3.8007
20180112,3.7483
20180111,3.7741
20180110,3.7994
20180109,3.7679
20180108,3.7443
20180105,3.7367
20180104,3.748
20180103,3.7812
20180102,3.7667
20180101,3.7875
20171229,3.79
20171228,3.7749
20171227,3.8156
20171226,3.812
20171225,3.8074
20171222,3.8157
20171221,3.8175
20171220,3.8203
20171219,3.8336
20171218,3.83
20171215,3.8617
20171214,3.8869
20171213,3.8119
20171212,3.8479
20171211,3.8367
20171208,3.8388
20171207,3.8631
20171206,3.8506
20171205,3.8444
20171204,3.8742
20171201,3.9131
20171130,3.919
20171129,3.9613
20171128,3.9645
20171127,3.9062
20171124,3.9437
20171123,3.9201
20171122,3.9184
20171121,3.9566
20171120,3.9285
20171117,3.8773
20171116,3.8629
20171115,3.8811
20171114,3.886
20171113,3.8706
20171110,3.8636
20171109,3.8647
20171108,3.8665
20171107,3.8844
20171106,3.828
20171103,3.8864
20171102,3.7975
20171101,3.813
20171031,3.792
20171030,3.7798
20171027,3.7885
20171026,3.8203
20171025,3.7668
20171024,3.7414
20171023,3.7163
20171020,3.6714
20171019,3.6456
20171018,3.6768
20171017,3.6663
20171016,3.6463
20171013,3.6349
20171012,3.654
20171011,3.6484
20171010,3.7114
20171009,3.7011
20171006,3.6149
20171005,3.5836
20171004,3.5723
20171003,3.5718
20171002,3.5635
20170929,3.5637
20170928,3.5603
20170927,3.5774
20170926,3.5424
20170925,3.5494
20170922,3.4962
20170921,3.5023
20170920,3.503
20170919,3.4887
20170918,3.4895
20170915,3.4376
20170914,3.4331
20170913,3.4579
20170912,3.4331
20170911,3.406
20170908,3.4117
20170907,3.4045
20170906,3.4257
20170905,3.4375
20170904,3.4348
20170901,3.4284
20170831,3.4527
20170830,3.4517
20170829,3.4465
20170828,3.4441
20170825,3.4389
20170824,3.4838
20170823,3.4787
20170822,3.4944
20170821,3.497
20170818,3.5185
20170817,3.5254
20170816,3.5156
20170815,3.5352
20170814,3.5257
20170811,3.5369
20170810,3.5418
20170809,3.5376
20170808,3.5338
20170807,3.5291
20170804,3.528
20170803,3.5396
20170802,3.5305
20170801,3.5271
20170731,3.5193
20170728,3.5279
20170727,3.5363
20170726,3.5385
20170725,3.5724
20170724,3.5567
20170721,3.5364
20170720,3.5264
20170719,3.522
20170718,3.5231
20170717,3.5284
20170714,3.5381
20170713,3.5657
20170712,3.5672
20170711,3.6139
20170710,3.6083
20170707,3.6182
20170706,3.6212
20170705,3.6062
20170704,3.5594
20170703,3.5571
20170630,3.5212
20170629,3.5265
20170628,3.5128
20170627,3.5263
20170626,3.5008
20170623,3.5088
20170622,3.5077
20170621,3.531
20170620,3.5444
20170619,3.5228
20170616,3.5027
20170615,3.513
20170614,3.4878
20170613,3.5198
20170612,3.5164
20170609,3.5373
20170608,3.5244
20170607,3.5503
20170606,3.5151
20170605,3.5237
20170602,3.5098
20170601,3.5246
20170531,3.527
20170530,3.5491
20170529,3.5772
20170526,3.5777
20170525,3.5667
20170524,3.5604
20170523,3.5704
20170522,3.5593
20170519,3.5753
20170518,3.6251
20170517,3.5681
20170516,3.5392
20170515,3.5483
20170512,3.5731
20170511,3.5758
20170510,3.5874
20170509,3.6239
20170508,3.5851
20170505,3.5441
20170504,3.554
20170503,3.5349
20170502,3.5273
20170501,3.5545
20170428,3.5516
20170427,3.5612
20170426,3.5783
20170425,3.5797
20170424,3.573
20170421,3.6401
20170420,3.6415
20170419,3.673
20170418,3.6608
20170417,3.7011
20170414,3.7327
20170413,3.6633
20170412,3.6492
20170411,3.6972
20170410,3.7294
20170407,3.7299
20170406,3.7111
20170405,3.6991
20170404,3.679
20170403,3.6449
20170331,3.6352
20170330,3.652
20170329,3.6459
20170328,3.6582
20170327,3.6166
20170324,3.6108
20170323,3.6348
20170322,3.6184
20170321,3.6329
20170320,3.616
20170317,3.6344
20170316,3.6256
20170315,3.6754
20170314,3.7426
20170313,3.7418
20170310,3.7299
20170309,3.7747
20170308,3.7467
20170307,3.6807
20170306,3.7132
20170303,3.7029
20170302,3.728
20170301,3.6543
20170228,3.6472
20170227,3.6072
20170224,3.607
20170223,3.5691
20170222,3.5802
20170221,3.6203
20170220,3.6245
20170217,3.629
20170216,3.6666
20170215,3.6601
20170214,3.6503
20170213,3.6717
20170210,3.6953
20170209,3.6831
20170208,3.7178
20170207,3.7451
20170206,3.6839
20170203,3.6976
20170202,3.7371
20170201,3.7705
20170131,3.7734
20170130,3.7818
20170127,3.8775
20170126,3.844
20170125,3.8313
20170124,3.7833
20170123,3.7573
20170120,3.7655
20170119,3.8273
20170118,3.7966
20170117,3.761
20170116,3.8042
20170113,3.723
20170112,3.7597
20170111,3.8647
20170110,3.7885
20170109,3.7129
20170106,3.6445
20170105,3.5927
20170104,3.5713
20170103,3.5943
20170102,3.5445
20161230,3.5277
20161229,3.523
20161228,3.54
20161227,3.5214
20161226,3.5118
20161223,3.5169
20161222,3.5114
20161221,3.5089
20161220,3.5275
20161219,3.5331
20161216,3.5068
20161215,3.5119
20161214,3.5323
20161213,3.4899
20161212,3.4688
20161209,3.4869
20161208,3.4434
20161207,3.3902
20161206,3.4456
20161205,3.5231
20161202,3.519
20161201,3.5037
20161130,3.437
20161129,3.4088
20161128,3.4148
20161125,3.4468
20161124,3.4455
20161123,3.3941
20161122,3.3844
20161121,3.3616
20161118,3.3753
20161117,3.3706
20161116,3.3234
20161115,3.2906
20161114,3.29
20161111,3.2522
20161110,3.2509
20161109,3.2099
20161108,3.155
20161107,3.1681
20161104,3.1569
20161103,3.1101
20161102,3.1138
20161101,3.1116
20161031,3.0939
20161028,3.1069
20161027,3.1138
20161026,3.0813
20161025,3.0711
20161024,3.076
20161021,3.0814
20161020,3.0601
20161019,3.0616
20161018,3.0953
20161017,3.096
20161014,3.0905
20161013,3.0858
20161012,3.0853
20161011,3.084
20161010,3.0718
20161007,3.051
20161006,3.0397
20161005,3.0516
20161004,3.0578
20161003,3.0188
20160930,2.9992
20160929,2.9997
20160928,2.9798
20160927,2.9746
20160926,2.981
20160923,2.9672
20160922,2.944
20160921,2.9551
20160920,2.9781
20160919,2.9771
20160916,2.9809
20160915,2.9687
20160914,2.9794
20160913,2.9846
20160912,2.9675
20160909,2.963
20160908,2.9512
20160907,2.9364
20160906,2.9224
20160905,2.9457
20160902,2.9509
20160901,2.9612
20160831,2.958
20160830,2.9631
20160829,2.9507
20160826,2.9538
20160825,2.9344
20160824,2.9517
20160823,2.951
20160822,2.9419
20160819,2.9293
20160818,2.9273
20160817,2.9222
20160816,2.9295
20160815,2.9407
20160812,2.9594
20160811,2.9573
20160810,2.9576
20160809,2.9682
20160808,2.9845
20160805,2.9987
20160804,3.0111
20160803,3.0139
20160802,2.9915
20160801,2.9904
20160729,2.9883
20160728,3.0126
20160727,3.0187
20160726,3.0453
20160725,3.0369
20160722,3.065
20160721,3.0706
20160720,3.0899
20160719,3.045
20160718,2.9777
20160715,3.0198
20160714,2.8782
20160713,2.8998
20160712,2.887
20160711,2.9045
20160708,2.8913
20160707,2.9367
20160706,2.9371
20160705,2.9293
20160704,2.9066
20160701,2.9019
20160630,2.8777
20160629,2.8892
20160628,2.9043
20160627,2.941
20160624,2.9293
20160623,2.8548
20160622,2.8936
20160621,2.9097
20160620,2.9062
20160617,2.9271
20160616,2.931
20160615,2.925
20160614,2.935
20160613,2.9196
20160610,2.9291
20160609,2.8919
20160608,2.8931
20160607,2.8971
20160606,2.9039
20160603,2.9028
20160602,2.9488
20160601,2.9419
20160531,2.9495
20160530,2.956
20160527,2.9575
20160526,2.9346
20160525,2.9368
20160524,2.9445
20160523,2.9952
20160520,2.9762
20160519,2.987
20160518,2.9902
20160517,2.9637
20160516,2.9767
20160513,2.9702
20160512,2.9623
20160511,2.9527
20160510,2.9516
20160509,2.9449
20160506,2.9273
20160505,2.9242
20160504,2.9625
20160503,2.8491
20160502,2.8049
20160429,2.7955
20160428,2.8129
20160427,2.8189
20160426,2.8208
20160425,2.844
20160422,2.8489
20160421,2.8331
20160420,2.814
20160419,2.8312
20160418,2.8398
20160415,2.8545
20160414,2.8499
20160413,2.8467
20160412,2.8354
20160411,2.8331
20160408,2.8491
20160407,2.8618
20160406,2.8406
20160405,2.8324
20160404,2.8128
20160401,2.8221
20160331,2.817
20160330,2.8359
20160329,2.8377
20160328,2.8688
20160325,2.8763
20160324,2.8724
20160323,2.8775
20160322,2.8668
20160321,2.8585
20160318,2.8676
20160317,2.8417
20160316,2.8684
20160315,2.8986
20160314,2.8704
20160311,2.867
20160310,2.8915
20160309,2.8907
20160308,2.9144
20160307,2.916
20160304,2.9082
20160303,2.9088
20160302,2.9253
20160301,2.9361
20160229,2.9654
20160226,2.9925
20160225,2.928
20160224,2.9363
20160223,2.9437
20160222,2.9367
20160219,2.9516
20160218,2.9705
20160217,2.9561
20160216,2.9774
20160215,2.9461
20160212,2.9295
20160211,2.931
20160210,2.9218
20160209,2.9407
20160208,2.9473
20160205,2.9232
20160204,2.9118
20160203,2.9164
20160202,2.9519
20160201,2.9456
20160129,2.9553
20160128,2.9693
20160127,3.0014
20160126,3.0088
20160125,3.0214
20160122,3.0038
20160121,3.0126
20160120,3.0422
20160119,3.0402
20160118,3.0365
