Tarih,Price2
02/11/2018,15.23
01/11/2018,14.6
31/10/2018,14.05
30/10/2018,14.6
26/10/2018,15.46
25/10/2018,15.94
24/10/2018,15.54
23/10/2018,15.53
22/10/2018,15.72
19/10/2018,16.19
18/10/2018,16.55
17/10/2018,16.55
16/10/2018,17.43
15/10/2018,18.08
12/10/2018,17.49
11/10/2018,16.5
10/10/2018,16.7
09/10/2018,17.57
08/10/2018,17.83
05/10/2018,17.57
04/10/2018,17.08
03/10/2018,17.74
02/10/2018,18.08
01/10/2018,18.62
28/09/2018,19.09
27/09/2018,19.1
26/09/2018,19.22
25/09/2018,18.84
24/09/2018,19.19
21/09/2018,18.53
20/09/2018,18.12
19/09/2018,18.4
18/09/2018,18.2
17/09/2018,17.66
14/09/2018,17.73
13/09/2018,18.19
12/09/2018,18
11/09/2018,17.95
10/09/2018,17
07/09/2018,17.15
06/09/2018,17.06
05/09/2018,17.2
04/09/2018,16.97
03/09/2018,17.11
31/08/2018,16.28
29/08/2018,16.56
28/08/2018,16.77
27/08/2018,16.48
20/08/2018,16
17/08/2018,15.37
16/08/2018,15.52
15/08/2018,15.89
14/08/2018,17.2
13/08/2018,16.55
10/08/2018,17.03
09/08/2018,17.35
08/08/2018,17.36
07/08/2018,17.24
06/08/2018,17
03/08/2018,17.41
02/08/2018,16.85
01/08/2018,17.11
31/07/2018,17.28
30/07/2018,16.79
27/07/2018,16.7
26/07/2018,16.45
25/07/2018,17.12
24/07/2018,15.9
23/07/2018,16.56
20/07/2018,16.06
19/07/2018,16.07
18/07/2018,16.08
17/07/2018,15.9
16/07/2018,15.11
13/07/2018,14.67
12/07/2018,14.28
11/07/2018,13.55
10/07/2018,14.3
09/07/2018,15.01
06/07/2018,14.42
05/07/2018,14.37
04/07/2018,13.91
03/07/2018,13.8
02/07/2018,13.99
29/06/2018,13.54
28/06/2018,13.66
27/06/2018,13.78
26/06/2018,12.98
25/06/2018,12.6
22/06/2018,12.9
21/06/2018,12.96
20/06/2018,12.64
19/06/2018,12.84
18/06/2018,12.52
14/06/2018,12.86
13/06/2018,12.85
12/06/2018,13.25
11/06/2018,14.07
08/06/2018,13.47
07/06/2018,15.15
06/06/2018,15.27
05/06/2018,16
04/06/2018,16.3
01/06/2018,16.55
31/05/2018,16.65
30/05/2018,17.32
29/05/2018,17.46
28/05/2018,17.55
25/05/2018,16.58
24/05/2018,15.66
23/05/2018,16.66
22/05/2018,16.75
21/05/2018,16.9
18/05/2018,16.35
17/05/2018,16.25
16/05/2018,16.5
15/05/2018,16.7
